
###Block: Races
#Aegyl	FACT:BaseSize|M	SOURCEPAGE:p.13	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Aegyl		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Aegyl		FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Bangaa	FACT:BaseSize|M	SOURCEPAGE:p.15	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Retilian	MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Bangaa		FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Burmecian	FACT:BaseSize|M	SOURCEPAGE:p.17	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Burmecian	MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Burmecian		FACT:IsPC|true	FACT:RACETYPE|Humanoid
Dwarf		FACT:BaseSize|M	SOURCELINK:https://www.finalfantasyd20.com/races/core-races/dwarf/	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Dwarf		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Dwarf		FACT:IsPC|true	FACT:RACETYPE|Humanoid
Elvaan	FACT:BaseSize|M	SOURCELINK:https://www.finalfantasyd20.com/races/core-races/elvaan/	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Elvaan	MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Elvaan		FACT:IsPC|true	FACT:RACETYPE|Humanoid
Galka		FACT:BaseSize|M	SOURCELINK:https://www.finalfantasyd20.com/races/core-races/galka/	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Galka		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Galka		FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Gria		FACT:BaseSize|M	SOURCEPAGE:p.29	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Gria		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Gria			FACT:IsPC|true	FACT:RACETYPE|Humanoid
Hume		FACT:BaseSize|M	SOURCELINK:https://www.finalfantasyd20.com/races/core-races/hume/	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Hume		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Hume			FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Mandragora	FACT:BaseSize|S	SOURCEPAGE:p.34	RACETYPE:Humanoid Plant	TYPE:Humanoid Plant.PC	RACESUBTYPE:Mandragora	MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Mandragora		FACT:IsPC|true	FACT:RACETYPE|Humanoid Plant
Mithra	FACT:BaseSize|M	SOURCELINK:https://www.finalfantasyd20.com/races/core-races/mithra/	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Mithra	MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Mithra		FACT:IsPC|true	FACT:RACETYPE|Humanoid
Moogle	FACT:BaseSize|S	SOURCELINK:https://www.finalfantasyd20.com/races/core-races/moogle/	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Moogle	MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Moogle		FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Nu Mou	FACT:BaseSize|S	SOURCEPAGE:p.44	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Nu Mou	MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Nu Mou		FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Qu		FACT:BaseSize|M	SOURCEPAGE:p.46	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Qu		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Qu			FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Ronso	FACT:BaseSize|M	SOURCEPAGE:p.48	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Ronso		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Ronso		FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Seeq		FACT:BaseSize|M	SOURCEPAGE:p.50	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Seeq		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Seeq			FACT:IsPC|true	FACT:RACETYPE|Humanoid
Tarutaru	FACT:BaseSize|S	SOURCELINK:https://www.finalfantasyd20.com/races/core-races/tarutaru/	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Tarutaru	MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Tarutaru		FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Varg		FACT:BaseSize|M	SOURCEPAGE:p.55	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Varg		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Varg			FACT:IsPC|true	FACT:RACETYPE|Humanoid
#Viera	FACT:BaseSize|M	SOURCEPAGE:p.57	RACETYPE:Humanoid		TYPE:Humanoid.PC		RACESUBTYPE:Viera		MOVE:Walk,0	LEGS:2	HANDS:2	STARTFEATS:1	ABILITY:Internal|AUTOMATIC|Racial Traits ~ Viera		FACT:IsPC|true	FACT:RACETYPE|Humanoid
