
###Block:
# Class of the Master		Type				Define							Modify VAR																		Main Race Type
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Companion	DEFINE:MasterLevel|0	DEFINE:BonusTricks|0	BONUS:VAR|MasterLevel|MASTERVAR("AnimalCompanionLVL")	BONUS:VAR|BonusTricks|1+MASTERVAR("AnimalCompanionLVL")/3	RACETYPE:Animal
###Block: HD
# Class of the Master			Type				Hit Dice
FOLLOWER:AnimalCompanionLVL=2		TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=4		TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=5		TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=6		TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=8		TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=9		TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=10	TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=12	TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=13	TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=14	TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=16	TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=17	TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=18	TYPE:Animal Companion	HD:1
FOLLOWER:AnimalCompanionLVL=20	TYPE:Animal Companion	HD:1

###Block: Familiars
# Class of the Master	Type			Ability												Copy Masters BAB		Copy Masters Checks	HP formula based on Master				Use Masters skills?	Define												Modify VAR
FOLLOWER:FamiliarLVL=1	TYPE:Familiar														COPYMASTERBAB:MASTER	COPYMASTERCHECK:MASTER	COPYMASTERHP:max(1,MASTER/FamiliarHPDivisor)	USEMASTERSKILL:YES	DEFINE:MasterLevel|0	DEFINE:FamiliarHPDivisor|0	DEFINE:CompanionHD|0	BONUS:VAR|MasterLevel|MASTERVAR("FamiliarLVL")	BONUS:VAR|FamiliarHPDivisor|2|TYPE=Base	BONUS:VAR|CompanionHD|MasterLevel
FOLLOWER:FamiliarLVL=1	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Companion ~ Familiar
